Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,e_num,FINAL Sample NAME,Cruise_ID_short,Cruise_ID_long,Lat_dec,Lon_dec,local_timezone,local_date_combined,utc_date_combined,ctd_timeJ_Julian_Days,"ctd_Depth_[salt_water,_m],_lat","ctd_Temperature_[ITS-90,_deg_C]",ctd_Conductivity_[S/m],"ctd_Salinity,_Practical_[PSU]","ctd_Sound_Velocity_[Chen-Millero,_m/s]","ctd_Oxygen,_SBE_43_[mg/l]","ctd_flSP_Fluorescence,_Seapoint","ctd_Beam_Attenuation,_WET_Labs_C-Star_[1/m]","ctd_Beam_Transmission,_WET_Labs_C-Star_[%]",ctd_Descent_Rate_[m/s],ctd_bpos_Bottle_Position_in_Carousel,ctd_scan_Scan_Count,ctd_flag_0.000e+00,ctd_time,ctd_station_id,moor_station_id,moor_depth_m,moor_deployment_time,moor_temp,moor_measurement_datetime,model_ocean_time,model_s_w,model_s_rho,model_AKs.meter2_second-1,model_AKv.meter2_second-1,model_Cs_r,model_Cs_w,model_LdetritusC.millimole_carbon_meter-3,model_LdetritusN.millimole_nitrogen_meter-3,model_NH4.millimole_nitrogen_meter-3,model_NO3.millimole_nitrogen_meter-3,model_Pair.millibar,model_SdetritusC.millimole_carbon_meter-3,model_SdetritusN.millimole_nitrogen_meter-3,model_TIC.millimole_carbon_meter-3,model_Uwind.meter_second-1,model_Vwind.meter_second-1,model_alkalinity.milliequivalents_meter-3,model_bustr.newton_meter-2,model_bvstr.newton_meter-2,model_h.meter,model_hc.meter,model_lat_rho.degree_north,model_lat_u.degree_north,model_lat_v.degree_north,model_latent.watt_meter-2,model_lon_rho.degree_east,model_lon_u.degree_east,model_lon_v.degree_east,model_lwrad.watt_meter-2,model_oxygen.millimole_oxygen_meter-3,model_phytoplankton.millimole_nitrogen_meter-3,model_salt.g_kg-1,model_sensible.watt_meter-2,model_shflux.watt_meter-2,model_ssflux.meter_second-1,model_sustr.newton_meter-2,model_svstr.newton_meter-2,model_swrad.watt_meter-2,model_temp.Celsius,model_u.meter_second-1,model_ubar.meter_second-1,model_v.meter_second-1,model_vbar.meter_second-1,model_w.meter_second-1,model_zeta.meter,model_zooplankton.millimole_nitrogen_meter-3,model_z_rho.m,model_z_w.m,model_station
E1032.OC0821,1,1,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.3,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1032,E1032.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1032.OC0821,1,2,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.3,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1032,E1032.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1032.OC0821,1,3,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.3,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1032,E1032.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1033.OC0821,1,1,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1033,E1033.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1033.OC0821,1,2,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1033,E1033.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1033.OC0821,1,3,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1033,E1033.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1034.OC0821,1,1,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1034,E1034.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1034.OC0821,1,2,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1034,E1034.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1034.OC0821,1,3,False,2021-08-25,8/25/2021,16:48:00,9:48,,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,33.0,47˚ 52.694' N,124˚ 44.139' W,1000,Emily Norton and Shannon Brown,,E1034,E1034.OC0821,OC0821,OCNMS Aug 2021,47.878233333333334,-124.73565,America/Los_Angeles,2021-08-25 09:48:00,2021-08-25 16:48:00+00:00,237.700336,-1.95,14.3319,0.000588,0.0093,1463.56,-2.72799,0.0,55.262,-1.2928,-5.684e-16,0,1.0,False,2021-08-26 16:48:29.030400146+00:00,TH042,TH042,42,2021-07-14 21:05:00,12.364,2021-08-25 09:47:59.999999,2021-08-25 17:00:00+00:00,-0.5,-0.8666666666666667,7.612291e-05,0.0001251105,-0.7874051335039117,-0.3342208159675695,0.06755862,0.010199429,3.4597127,21.72941,1017.0491,7.6374764,0.85871005,2236.6013,-1.2185988,-0.22374566,2264.0813,-0.016627496,0.009762776,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-2.6496994,-124.73185969013048,-124.72704402236144,-124.73185969013048,4.951491,140.54465,0.4800839,32.820274,-1.9287384,180.12704,3.4313008e-08,-0.0022332033,-0.0004921228,179.754,8.294047,0.037275825,0.103261344,-0.17934519,-0.21202958,-8.71866e-05,-1.3800358,0.034247447,-33.115131214569686,-15.87621289673274,TH042
E1323.OC1021,1,1,False,2021-10-08,10/8/2021,18:15:00,11:15,TH042-01,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,33.0,47˚ 52.673' N,124˚ 44.340' W,1000,Sean McAllister and Emily Norton,,E1323,E1323.OC1021,OC1021,OCNMS Oct 2021,47.87788333333334,-124.739,America/Los_Angeles,2021-10-08 11:15:00,2021-10-08 18:15:00+00:00,281.670382,-2.217,10.1905,0.001003,0.0098,1448.01,-2.99891,0.0,55.262,-1.2928,0.0,0,1.0,False,2021-10-09 16:05:21.004800017+00:00,TH042,TH042,42,2021-08-27 17:15:00,12.871,2021-10-08 11:14:00.000004,2021-10-08 18:00:00+00:00,-0.5,-0.8666666666666667,0.0010657485,0.0010340887,-0.7874051335039117,-0.3342208159675695,0.11484016,0.017335225,2.5862021,23.266796,1015.4955,5.574499,0.66878,2241.4004,-3.124386,5.383204,2263.201,-0.119802326,0.030296683,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-83.25436,-124.73185969013048,-124.72704402236144,-124.73185969013048,-13.018229,131.48373,0.22179602,32.827534,-6.8263855,-48.274033,-4.862853e-07,-0.030160857,0.051722765,54.82494,8.875164,0.28034687,0.08819056,-0.0770882,-0.075502105,0.00048095195,-0.40005493,0.026686015,-32.922052037024606,-15.255678466469986,TH042
E1323.OC1021,1,2,False,2021-10-08,10/8/2021,18:15:00,11:15,TH042-01,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,33.0,47˚ 52.673' N,124˚ 44.340' W,1000,Sean McAllister and Emily Norton,,E1323,E1323.OC1021,OC1021,OCNMS Oct 2021,47.87788333333334,-124.739,America/Los_Angeles,2021-10-08 11:15:00,2021-10-08 18:15:00+00:00,281.670382,-2.217,10.1905,0.001003,0.0098,1448.01,-2.99891,0.0,55.262,-1.2928,0.0,0,1.0,False,2021-10-09 16:05:21.004800017+00:00,TH042,TH042,42,2021-08-27 17:15:00,12.871,2021-10-08 11:14:00.000004,2021-10-08 18:00:00+00:00,-0.5,-0.8666666666666667,0.0010657485,0.0010340887,-0.7874051335039117,-0.3342208159675695,0.11484016,0.017335225,2.5862021,23.266796,1015.4955,5.574499,0.66878,2241.4004,-3.124386,5.383204,2263.201,-0.119802326,0.030296683,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-83.25436,-124.73185969013048,-124.72704402236144,-124.73185969013048,-13.018229,131.48373,0.22179602,32.827534,-6.8263855,-48.274033,-4.862853e-07,-0.030160857,0.051722765,54.82494,8.875164,0.28034687,0.08819056,-0.0770882,-0.075502105,0.00048095195,-0.40005493,0.026686015,-32.922052037024606,-15.255678466469986,TH042
E1323.OC1021,1,3,False,2021-10-08,10/8/2021,18:15:00,11:15,TH042-01,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,33.0,47˚ 52.673' N,124˚ 44.340' W,1000,Sean McAllister and Emily Norton,,E1323,E1323.OC1021,OC1021,OCNMS Oct 2021,47.87788333333334,-124.739,America/Los_Angeles,2021-10-08 11:15:00,2021-10-08 18:15:00+00:00,281.670382,-2.217,10.1905,0.001003,0.0098,1448.01,-2.99891,0.0,55.262,-1.2928,0.0,0,1.0,False,2021-10-09 16:05:21.004800017+00:00,TH042,TH042,42,2021-08-27 17:15:00,12.871,2021-10-08 11:14:00.000004,2021-10-08 18:00:00+00:00,-0.5,-0.8666666666666667,0.0010657485,0.0010340887,-0.7874051335039117,-0.3342208159675695,0.11484016,0.017335225,2.5862021,23.266796,1015.4955,5.574499,0.66878,2241.4004,-3.124386,5.383204,2263.201,-0.119802326,0.030296683,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-83.25436,-124.73185969013048,-124.72704402236144,-124.73185969013048,-13.018229,131.48373,0.22179602,32.827534,-6.8263855,-48.274033,-4.862853e-07,-0.030160857,0.051722765,54.82494,8.875164,0.28034687,0.08819056,-0.0770882,-0.075502105,0.00048095195,-0.40005493,0.026686015,-32.922052037024606,-15.255678466469986,TH042
E1324.OC1021,1,1,False,2021-10-08,10/8/2021,18:15:00,11:15,TH042-02,TH042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,33.0,47˚ 52.673' N,124˚ 44.340' W,1000,Sean McAllister and Emily Norton,,E1324,E1324.OC1021,OC1021,OCNMS Oct 2021,47.87788333333334,-124.739,America/Los_Angeles,2021-10-08 11:15:00,2021-10-08 18:15:00+00:00,281.670382,-2.217,10.1905,0.001003,0.0098,1448.01,-2.99891,0.0,55.262,-1.2928,0.0,0,1.0,False,2021-10-09 16:05:21.004800017+00:00,TH042,TH042,42,2021-08-27 17:15:00,12.871,2021-10-08 11:14:00.000004,2021-10-08 18:00:00+00:00,-0.5,-0.8666666666666667,0.0010657485,0.0010340887,-0.7874051335039117,-0.3342208159675695,0.11484016,0.017335225,2.5862021,23.266796,1015.4955,5.574499,0.66878,2241.4004,-3.124386,5.383204,2263.201,-0.119802326,0.030296683,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-83.25436,-124.73185969013048,-124.72704402236144,-124.73185969013048,-13.018229,131.48373,0.22179602,32.827534,-6.8263855,-48.274033,-4.862853e-07,-0.030160857,0.051722765,54.82494,8.875164,0.28034687,0.08819056,-0.0770882,-0.075502105,0.00048095195,-0.40005493,0.026686015,-32.922052037024606,-15.255678466469986,TH042
E1324.OC1021,1,2,False,2021-10-08,10/8/2021,18:15:00,11:15,TH042-02,TH042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,33.0,47˚ 52.673' N,124˚ 44.340' W,1000,Sean McAllister and Emily Norton,,E1324,E1324.OC1021,OC1021,OCNMS Oct 2021,47.87788333333334,-124.739,America/Los_Angeles,2021-10-08 11:15:00,2021-10-08 18:15:00+00:00,281.670382,-2.217,10.1905,0.001003,0.0098,1448.01,-2.99891,0.0,55.262,-1.2928,0.0,0,1.0,False,2021-10-09 16:05:21.004800017+00:00,TH042,TH042,42,2021-08-27 17:15:00,12.871,2021-10-08 11:14:00.000004,2021-10-08 18:00:00+00:00,-0.5,-0.8666666666666667,0.0010657485,0.0010340887,-0.7874051335039117,-0.3342208159675695,0.11484016,0.017335225,2.5862021,23.266796,1015.4955,5.574499,0.66878,2241.4004,-3.124386,5.383204,2263.201,-0.119802326,0.030296683,40.90185543754495,10.0,47.87610638116912,47.87610638116912,47.87835632766127,-83.25436,-124.73185969013048,-124.72704402236144,-124.73185969013048,-13.018229,131.48373,0.22179602,32.827534,-6.8263855,-48.274033,-4.862853e-07,-0.030160857,0.051722765,54.82494,8.875164,0.28034687,0.08819056,-0.0770882,-0.075502105,0.00048095195,-0.40005493,0.026686015,-32.922052037024606,-15.255678466469986,TH042
